exchange,uptake,comment
EX_cpd00012_e0,1000,
EX_cpd00009_e0,1000,
EX_cpd00209_e0,1000,
EX_cpd00075_e0,1000,
EX_cpd00013_e0,1000,
EX_cpd00048_e0,1000,
EX_cpd00971_e0,1000,
EX_cpd00001_e0,1000,
EX_cpd00011_e0,1000,
EX_cpd00067_e0,1000,
EX_cpd00063_e0,1000,
EX_cpd00099_e0,1000,
EX_cpd00205_e0,1000,
EX_cpd00254_e0,1000,
EX_cpd00030_e0,1000,
EX_cpd00007_e0,1000,
EX_cpd00058_e0,1000,
EX_cpd10515_e0,1000,
EX_cpd10516_e0,1000,
EX_cpd00034_e0,1000,
